argomento;categoria;record_autorità;conteggio;nav_link
figura maschile;Lettura iconografica;https://www.wikidata.org/wiki/Q44148;7;#
padre;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=7802;1;#
figura femminile;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=36115;3;#
madre;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=3342;1;#
bambino;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=1836;2;#
figlia;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=16766;1;#
balcone;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=16299;1;#
fiori;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=7751;1;#
informazione;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=5648;14;#
comunicazione;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=2303;14;#
propaganda elettorale;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=15961;12;#
politica;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=4934;13;#
partiti politici;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=5254;12;#
Partito Comunista Italiano;Nomi;http://viaf.org/viaf/159457224;6;#
Fronte Democratico Popolare;Nomi;http://viaf.org/viaf/132539760;2;#
bandiera;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=15226;3;#
Partito Socialista Italiano;Lettura iconografica;http://viaf.org/viaf/132541533;2;#
stella;Lettura iconografica;https://www.wikidata.org/wiki/Q1191504;1;#
Garibaldi;Lettura iconografica;http://viaf.org/viaf/100192194;1;#
fascio di luce;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=21249;1;#
propaganda politica;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=7773;10;#
Partito Socialista Italiano;Nomi;http://viaf.org/viaf/132541533;4;#
Giuseppe Garibaldi;Nomi;http://viaf.org/viaf/100192194;2;#
Italia;Luoghi;http://vocab.getty.edu/page/tgn/1000080;3;#
scheda elettorale;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=67840;2;#
urna;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=67835;1;#
scultura;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=4223;1;#
erma;Lettura iconografica;https://www.wikidata.org/wiki/Q376693;1;#
ritratti;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=10545;1;#
propaganda anticomunista;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=1693;3;#
propaganda antisocialista;Categoria merceologica/ tipo evento;https://www.wikidata.org/wiki/Q105634875;1;#
Stalin;Nomi;http://viaf.org/viaf/101787139;2;#
folla;Lettura iconografica;https://www.wikidata.org/wiki/Q13430821;1;#
simbolo;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=1851;3;#
stellone;Lettura iconografica;https://www.wikidata.org/wiki/Q3592477;1;#
albero;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=11392;1;#
forche;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=76364;1;#
martelli;Lettura iconografica;https://d-nb.info/gnd/4023175-6;1;#
muro;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=23872;1;#
Blocco Nazionale;Nomi;https://www.wikidata.org/wiki/Q3640978;1;#
Partito Liberale Italiano;Nomi;http://viaf.org/viaf/158291413;2;#
Fronte dell'Uomo Qualunque;Nomi;http://viaf.org/viaf/131505700;1;#
Unione per la Ricostruzione Nazionale;Nomi;http://viaf.org/viaf/178159474185227661699;1;#
Roma;Luoghi;http://vocab.getty.edu/page/tgn/7000874;3;#
simbolo politico;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=1851;3;#
Unità Socialista;Nomi;https://www.wikidata.org/wiki/Q4005687;1;#
