titolo;creatore;data;descrizione
Per la pace d'Italia;Partito Comunista Italiano;1948;famiglia affacciata a un balcone fiorito
un forte partito socialista all'avanguardia del Fronte Democratico Popolare;Partito Socialista Italiano;1948;bandiera Partito Socialista Italiano
Chi vota Fronte vota bifronte;Comitato Civico;1948;uomo inserisce una scheda elettorale in un'urna sormontata dalla doppia erma di Garibaldi e Stalin
Votate Blocco Nazionale Italiano;Blocco Nazionale;1948;"muro con scritta Blocco Nazionale; da una parte del muro vi è una folla di proletari con bandiera comunista; dall’altra parte vi è una famigliola felice, con bimbo che sventola bandiera italiana"
Vota Unità Socialista ;Unità Socialista;1948;simbolo politico dell'Unità Socialista
Democrazia Cristiana;Democrazia Cristiana;1948?;"Democrazia Cristiana / Democrazia Cristiana. -; 1948 ?. - 1 volantino (2 p.) : stampa tipografica ; 17x12 cm.Programma elettorale Democrazia Cristiana.Incipit del testo: nell'ora in cui l'Italia rinasce dal sangue... Il foglio è stampato su entrambi i lati; Soggetti: Democrazia Cristiana - Propaganda elettorale - 1948-1955; Gabriotti Venanzio - Democrazia Cristiana"
Basta con la D.C.! Vota comunista;Partito Comunista Italiano;1953;braccia spazzano cartacce e scarafaggi con il simbolo della Democrazia Cristiana sul dorso
Vota Partito Socialista Italiano;Partito Socialista Italiano;1953;figura maschile e femminile affiancati con bandiera tricolore formata da parole
Partito Nazionale Monarchico;Partito Nazionale Monarchico;1950;Cavour indica il simbolo del Partito Monarchico a manifestanti del PLI
Dittatura;Democrazia Cristiana;1953;scheletro coperto da un mantello nero sostiene i simboli politici del MSI e del PCI
Nei paesi comunisti si vota così (quando si vota);Democrazia Cristiana;1952;figure dirette a un seggio elettorale tra due file di soldati rossi con mitra
"Il responso del veggente : canzone valzer allegro sul motivo de ""Il Vecchio Pollo""";Capriotti Editore;1953;"Il responso del veggente : canzone valzer allegro sul motivo de ""Il Vecchio Pollo"". - Roma : Capriotti, 1953. - 1 volantino (2 p. : stampa tipografica ; 25x18 cm. Canzone di propaganda politica anticomunista. - Sul retro il testo originale della canzone. Soggetti: Canti politici - Italia - 1946-1955; Elezioni politiche - Italia - 1953; Nenni Pietro; Togliatti Palmiro; Pajetta Giancarlo"
Votate i candidati e le liste comunisti!;Partito Comunista Italiano;1958;tre bandiere sbrindellate sventolano issate su una forchetta spuntata
Aiuti americani 1948 1958;Partito Comunista Italiano;1958;panino e missile americano
Scegli l'apertura a sinistra vota Partito Socialista Italiano;Partito Socialista Italiano;1955;simbolo del Partito Socialista Italiano
Vota per chi ha sempre detto la verità ;Democrazia Cristiana;1958;Chruščëv fa un'iniezione a Palmiro Togliatti e Bulganin rincorre Pietro Nenni con una siringa
25 maggio vota M.S.I;Cesare Gobbo;1958;Vignetta tricolore: Italia turrita in verde presso un monumento alle elezioni del 25 Maggio 1958 realizzato in opus isodomum con pietre ben squadrate. Sullo sfondo De Gasperi e altri politici cercano di puntellare un monumento al 18 aprile 1948
Italia: Gli ultimi comizi elettorali e l'influenza della crisi francese;L'Europeo Ciac;1958;Original language summary: Servizio sulla fine della campagna elettorale del 1958. I comizi della destra e della sinistra appaiono influenzati dalla situazione francese e dall'assunzione di vasti poteri da parte di De Gaulle. PCI e PSI fanno presente il rischio di un'involuzione autoritaria mentre il MSI prende a esempio la situazione francese per indicare la necessità della presenza di un uomo forte anche in Italia (per fare fronte al pericolo comunista).
