titolo;descrizione;creatore;creatore_record_autorità;data;abstract;oggetto;oggetto_record_autorità;materia_tecnica;istituzione_fornitrice;luogo;luogo_record_autorità;numero_inventario;intermediario;collezione;diritti;licenza_metadati;nav_link
Per la pace d'Italia;famiglia affacciata a un balcone fiorito;Partito Comunista Italiano;http://viaf.org/viaf/159457224;1948;"Lettura iconografica: figura maschile; padre; figura femminile; madre; bambina; figlia; balcone; fiori. Categoria merceologica/ tipo evento: informazione e comunicazione; propaganda elettorale; politica; partiti politici. Nomi: PCI; Partito Comunista Italiano; FDP; Fronte Democratico Popolare per la libertà, la pace, il lavoro";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ fotocromolitografia;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;13495;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
un forte partito socialista all'avanguardia del Fronte Democratico Popolare;bandiera Partito Socialista Italiano;Partito Socialista Italiano;http://viaf.org/viaf/132541533;1948;"Lettura iconografica: bandiera Partito Socialista Italiano; stella con volto di Garibaldi; fascio di luce. Categoria merceologica/ tipo evento: informazione e comunicazione; propaganda politica; politica; partiti politici. Nomi: PSI; Partito Socialista Italiano; Fronte Democratico Popolare; Giuseppe Garibaldi. Luoghi: Italia";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ riproduzione fotomeccanica;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;22877;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
Chi vota Fronte vota bifronte;uomo inserisce una scheda elettorale in un'urna sormontata dalla doppia erma di Garibaldi e Stalin;Comitato Civico;https://thes.bncf.firenze.sbn.it/termine.php?id=50063;1948;"Lettura iconografica: figura maschile; scheda elettorale; urna; scultura; erma; ritratti. Categoria merceologica/ tipo evento: informazione e comunicazione; propaganda elettorale; propaganda anticomunista; propaganda antisocialista. Nomi: Giuseppe Garibaldi; Iosif Vissarionovič Džugašvili; Stalin";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ fotocromolitografia;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;13480;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
Votate Blocco Nazionale Italiano;"muro con scritta Blocco Nazionale; da una parte del muro vi è una folla di proletari con bandiera comunista; dall’altra parte vi è una famigliola felice, con bimbo che sventola bandiera italiana";Blocco Nazionale ;https://www.wikidata.org/wiki/Q3640978;1948;"Lettura iconografica: figure maschili; figure femminili; folla; bambini; simboli; bandiera; stellone; albero; forche; martelli; muro. Categoria merceologica/ tipo evento: informazione e comunicazione; propaganda; elettorale; politica. Nomi: Blocco Nazionale; Partito Liberale Italiano; Fronte dell'Uomo Qualunque; Unione per la Ricostruzione Nazionale. Luoghi: Roma";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ cromolitografia;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;13504;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
Vota Unità Socialista;simbolo politico dell'Unità Socialista;Unità Socialista ;https://www.wikidata.org/wiki/Q4005687;1948;"Lettura iconografica: simbolo politico. Categoria merceologica/ tipo evento: informazione e comunicazione; propaganda elettorale; propaganda politica; politica; partiti politici. Nomi: US; Unità Socialista; Partito Socialista dei Lavoratori Italiani; PSDI; Partito Socialista Democratico Italiano; Unione dei Socialisti";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ cromolitografia;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;22956;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
Democrazia Cristiana;"Democrazia Cristiana / Democrazia Cristiana. -; 1948 ?. - 1 volantino (2 p.) : stampa tipografica ; 17x12 cm.Programma elettorale Democrazia Cristiana.Incipit del testo: nell'ora in cui l'Italia rinasce dal sangue... Il foglio è stampato su entrambi i lati; Soggetti: Democrazia Cristiana - Propaganda elettorale - 1948-1955; Gabriotti Venanzio - Democrazia Cristiana";Democrazia Cristiana;http://viaf.org/viaf/137215176;1948?;Democrazia Cristiana - propaganda politica - 1946-1955;volantino;https://d-nb.info/gnd/4071280-1;Stampa tipografica;Istituto Conestabile Piastrelli;Perugia;http://vocab.getty.edu/page/tgn/7000526;30;Europeana;2058606_Ag_EU_LoCloud_FRS;Istituto Giancarlo Conestabile della Staffa e Luigi Piastrelli;http://creativecommons.org/publicdomain/mark/1.0/;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_2.html
Basta con la D.C.! Vota comunista;braccia spazzano cartacce e scarafaggi con il simbolo della Democrazia Cristiana sul dorso;Partito Comunista Italiano;http://viaf.org/viaf/159457224;1953;"Lettura iconografica: braccia; scopa di saggina; cartacce; scarafaggi; simboli politici. Categoria merceologica/ tipo evento: politica; partiti politici; informazione e comunicazione; propaganda politica; propaganda elettorale. Nomi: PCI; Partito Comunista Italiano; DC; Democrazia Cristiana";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ riproduzione fotomeccanica;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;22589;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
Vota Partito Socialista Italiano;igura maschile e femminile affiancati con bandiera tricolore formata da parole;Partito Socialista Italiano;http://viaf.org/viaf/132541533;1953;"Lettura iconografica: figura femminile; figura maschile; bandiera italiana; bandiera tricolore. Categoria merceologica/ tipo evento: informazione e comunicazione; propaganda politica; propaganda elettorale; politica; partiti politici. Nomi: PSI; Partito Socialista Italiano. Luoghi: Italia";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ riproduzione fotomeccanica;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;22884;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
Partito Nazionale Monarchico;Cavour indica il simbolo del Partito Monarchico a manifestanti del PLI;Partito Nazionale Monarchico;http://viaf.org/viaf/220200280;1950;"Lettura iconografica: Cavour; figure maschili; manifestanti; cartello; simbolo del partito monarchico. Categoria merceologica/ tipo evento: politica; partiti politici; informazione e comunicazione; propaganda politica; propaganda elettorale. Nomi: Camillo Benso conte di Cavour; PNM; Partito Nazionale Monarchico; PLI; Partito Liberale Italiano";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ cromolitografia, riproduzione fotomeccanica;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;22412;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
Dittatura;scheletro coperto da un mantello nero sostiene i simboli politici del MSI e del PCI;Democrazia Cristiana;http://viaf.org/viaf/137215176;1953;"Lettura iconografica: scheletro; mantello; simboli politici; personificazione; dittatura. Categoria merceologica/ tipo evento: informazione e comunicazione; propaganda elettorale; propaganda politica; propaganda anticomunista; propaganda antifascista; politica; partiti politici. Nomi: MSI; Movimento Sociale Italiano; PCI; Partito Comunista Italiano; DC; Democrazia Cristiana";manifesto politico;https://thes.bncf.firenze.sbn.it/termine.php?id=3022;carta/ cromolitografia;Museo nazionale Collezione Salce;Via Carlo Alberto, 31, Treviso;http://vocab.getty.edu/page/tgn/7003297;22505;Catalogo generale dei Beni Culturali;Ambito Italiano;proprietà Stato;https://creativecommons.org/licenses/by/4.0/legalcode.it;#
